name,run,scenario,variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
S4,7,"PBPP3: beta(5, 5)",beta00,99.7818,99.7435,1.7629,1.6071,96.9736,102.594,1.0009,1838,1210
S4,7,"PBPP3: beta(5, 5)",sigma_b0,1.4497,1.127,1.2224,1.0296,0.1159,3.9061,1.0001,1561,926
S4,7,"PBPP3: beta(5, 5)",beta0,100.2912,100.283,0.5146,0.4848,99.4454,101.1463,1.0004,1440,1345
S4,7,"PBPP3: beta(5, 5)",sigma_b,0.9825,0.9232,0.5982,0.6129,0.1364,2.051,1.0027,685,852
S4,7,"PBPP3: beta(10, 10)",a0,0.0587,0.0568,0.0196,0.0194,0.0314,0.0948,1.0019,2876,1338
S4,7,"PBPP3: beta(10, 10)",sigma,3.6576,3.6364,0.27,0.2659,3.2554,4.1303,1.0013,2839,1429
S4,7,"PBPP3: beta(10, 10)",beta00,99.6715,99.6955,1.3032,1.2498,97.5489,101.8105,1.0005,2402,1384
S4,7,"PBPP3: beta(10, 10)",sigma_b0,1.1327,0.8906,0.9432,0.8398,0.0827,2.959,0.9997,1486,974
S4,7,"PBPP3: beta(10, 10)",beta0,100.2997,100.294,0.4915,0.4675,99.4904,101.092,1.0004,2050,1479
S4,7,"PBPP3: beta(10, 10)",sigma_b,1.0517,1.0033,0.5786,0.5698,0.1729,2.0646,1.0019,626,785
S4,7,"PBPP3: beta(50, 20)",a0,0.2528,0.2515,0.0333,0.0332,0.2004,0.3083,1.0002,2396,1338
S4,7,"PBPP3: beta(50, 20)",sigma,3.3763,3.3669,0.2263,0.2315,3.0263,3.7674,1.0009,1671,1393
S4,7,"PBPP3: beta(50, 20)",beta00,99.5871,99.5724,0.7019,0.6674,98.4322,100.7754,1.0013,2471,1579
S4,7,"PBPP3: beta(50, 20)",sigma_b0,0.7049,0.5612,0.5813,0.5389,0.0446,1.8251,1.0013,1258,847
S4,7,"PBPP3: beta(50, 20)",beta0,100.3051,100.3125,0.4947,0.4603,99.5139,101.1111,0.9997,1322,1189
S4,7,"PBPP3: beta(50, 20)",sigma_b,1.0518,1.0063,0.5627,0.5331,0.1968,2.0342,1.005,647,775
S4,8,"PBPP3: beta(1, 1)",a0,0.0052,0.0033,0.0056,0.0035,3e-04,0.0164,1.0004,2312,1182
S4,8,"PBPP3: beta(1, 1)",sigma,4.2352,4.2086,0.3084,0.2976,3.775,4.7699,1.0007,3667,1404
S4,8,"PBPP3: beta(1, 1)",beta00,100.1927,100.18,2.9858,2.5627,95.2113,105.0871,1.0057,3159,864
S4,8,"PBPP3: beta(1, 1)",sigma_b0,2.1707,1.5595,2.1149,1.4782,0.1561,6.0811,1.0016,1749,1222
S4,8,"PBPP3: beta(1, 1)",beta0,100.675,100.675,0.5045,0.5056,99.8401,101.475,1.0014,2363,1433
S4,8,"PBPP3: beta(1, 1)",sigma_b,0.8124,0.7215,0.5921,0.5935,0.0725,1.8957,1.0049,956,1086
S4,8,"PBPP3: beta(5, 5)",a0,0.0276,0.0262,0.0122,0.0118,0.0108,0.051,1.0061,2120,1152
S4,8,"PBPP3: beta(5, 5)",sigma,4.2098,4.1908,0.3015,0.2978,3.7477,4.7264,1.0003,2604,1353
S4,8,"PBPP3: beta(5, 5)",beta00,100.4078,100.3845,1.9261,1.7647,97.3579,103.629,1.0008,2311,1320
S4,8,"PBPP3: beta(5, 5)",sigma_b0,1.5319,1.2397,1.2604,1.1019,0.1143,3.9357,1.0021,1321,856
S4,8,"PBPP3: beta(5, 5)",beta0,100.6771,100.6855,0.4908,0.4759,99.8673,101.466,1.003,1932,1187
S4,8,"PBPP3: beta(5, 5)",sigma_b,0.7728,0.6784,0.5694,0.5436,0.0605,1.8232,1.0087,599,770
S4,8,"PBPP3: beta(10, 10)",a0,0.0547,0.0527,0.0177,0.0178,0.0293,0.0849,1.0003,2320,1337
S4,8,"PBPP3: beta(10, 10)",sigma,4.1613,4.1469,0.3021,0.3102,3.6988,4.6674,1.0026,2332,976
S4,8,"PBPP3: beta(10, 10)",beta00,100.5481,100.543,1.548,1.47,98.1198,103.0563,1.0037,2234,1514
